Title|Year|Plot
CBC Music Backstage Pass|2013|In this episode of CBC Music Backstage Pass we go country. Belle Starr performs three of their favourite Canadian country classics. Brett Kissel sings "Raise Your Glass" with just an acoustic guitar and a vintage CBC microphone. And Johnny Reid performs "Fire it up" in Toronto Studio 211. 
CBC Winnipeg Comedy Festival|2002|Join host Andrea Martin and some of the most hilarious musical comedy acts as they present their best numbers and celebrity musical tributes. Starring Jessica Holmes, Sean Cullen, Cathy Jones, Gavin Crawford, George Westerholm, and Hot Thespian Action. 
CBS Afternoon Playhouse|1978|First presented as a 5-part "CBS Afternoon Playhouse" series, this family-styled ethnic adventure tells the story of Joey, who is a white, middle-class kid from the Midwest, and Redhawk, a Colorado Apache he comes across while on vacation with his dad in the Rocky Mountains. The tale focuses on their ensuing relationship and the perils the three face in the wilderness when both Joey and his dad are injured and come face-to-face with a mountain lion, an eccentric hermit, etc. 
CBS Cares|2000|Approximately 155 million viewers see one or more of the CBS Cares campaigns each year on the CBS Television Network. (Source: NTI). These campaigns -- scripted and produced by CBS - usually consist of PSAs featuring Talent from a wide array of Primetime series on the CBS Television Network. The PSAs may be free standing or tied to storylines of shows. There have been rare instances where non CBS Stars have appeared in CBS Cares PSAs -- for example, Nelson Mandela's historic 2006 Tolerance messages developed by CBS in partnership with the Nelson Mandela Foundation. These PSAs were seen by more than 200 million viewers on the CBS Television Network and aired in 82 other countries. Another exception was a PSA for Big Brothers Big Sisters -- developed in partnership with CBS Sports and the NFL -- that was seen by over 90 million viewers during Super Bowl XLI. It featured Super Bowl coaches Tony Dungy and Lovie Smith. CBS Cares has also been a pioneer in the use of humor in PSAs to connect with viewers on serious issues. 
CBS Cartoon Theatre|1956|The office of our host now has a telephone installed, but he soon regrets its presence when Heckle and Jeckle, Dinky Duck and Gandy Goose make prank phone calls to him. Meanwhile, he offers the children in the audience a safety tip regarding where it is safe to ride a bicycle fast and where it isn't. And he introduces four Terrytoons cartoons: _Dancing Shoes (1949)_ (qv) and _The Fox Hunt (1950)_ (qv) with Heckle and Jeckle; _Hook, Line, and Sinker (1939)_ with Gandy Goose; and _The Timid Scarecrow (1953)_ (qv) with Dinky Duck. 
CBS Children's Mystery Theatre|1980|Polly Ames returns to her home, a hotel run by her father, to discover stories of ghosts and strange figures in black roaming the hallways. The "ghost" has already scared several tenants off, and if it keeps doing so, the hotel will have to be sold. Polly teams up with tenant D.C. and they begin to work on solving the mystery of who is pretending to be the ghost. 
CBS Evening News with Bob Schieffer|2005|The lead story focuses on the proposed merger between AT&T and BellSouth. Other stories look at the investigation into criminal negligence in the death of Pat Tillman, the push for the death penalty in the trial of Zacarias Moussaoui, a bill to ban abortion in South Dakota, military recruiters on college campuses, violence in Iraq, an investigation into crime in South America, and a feature on auto racing pit crews. 
CBS Evening News with Scott Pelley|2011|A powerful storm system stretched through a large portion of the country this weekend. As Manuel Bojorquez reports, the severe weather included heavy rains, flooding and tornadoes to several states; An Italian festival in South Philadelphia celebrated its centennial this weekend. Jericka Duncan reports on the Italian Market's 100 years of food and family. 
CBS Library|1979|P.J. is locked in L.A.'s Washington Public Library for the night. While fretting over what to do, some book characters come to life to tell their stories and help her to find her way back out. 
CBS News Extra: Project Mercury flight of Frienship 7|1962|Ten-part live "CBS News Extra" coverage of the Project Mercury flight of the Frienship 7 space capsule and astronaut Lt. Col. John Glenn who thus becomes the first American to orbit the earth. Douglas Edwards opens from New York with an update on the weather around the launch area at Cape Canaveral, Florida. Walter Cronkite reports from CBS News Control Center at Cape Canaveral on the scope of coverage to be broadcast by CBS; an animated film explains various stages of the flight such as orbit, reentry, splashdown, and recovery; Cronkite reports it is T minus eighty-four minutes; Lt. Col. John "Shorty" Powers of Mercury Control gives a status report as the camera shows technicians bolting the capsule hatch; videotape shows Glenn suiting up earlier this day and boarding the space capsule; Hughes Rudd reports from the home of Glenn's parents in New Concord, Ohio; Nancy Hanschman reports from Glenn's home in Arlington, Virginia; Grant Holcomb and Robert Schakne report from General Dynamics in San Diego, California; Robert Pierpoint, Neil Strawser, and Roger Mudd report from Washington, D.C.; Dave Dugan, Joe Campbell, and Bill Downs report from ships in the Atlantic Ocean recovery zone; and Bernard Eismann reports from St. Louis on the McDonnell Aircraft Corp., makers of the space capsule. Next, Cronkite opens from Cape Canaveral, Florida, where the count is T minus sixty and holding due to a broken bolt on the capsule's hatch. Highlights of this portion include coverage of the following: Bernard Eismann reports from the McDonnell Aircraft Corp. in St. Louis and interviews an engineer who helped design the capsule; in a film clip, Richard Bate interviews a NASA capsule engineer; Nancy Hanschman reports from Glenn's home in Arlington, Virginia, where she describes the day of Glenn's wife, Annie, thus far; Grant Holcomb reports from General Dynamics in San Diego, CA, and interviews its president, J.R. Dempsey who discusses the Atlas booster built by his company for Project Mercury; Eismann reports again from McDonnell Corp. where an engineer talks about space capsule improvements; Richard C. Hottelet reports from New York with a news summary; Cronkite describes Glenn's morning as the camera shows the launch pad area and the scene at nearby Cocoa Beach; an animated film shows the capsule in orbit; the countdown resumes at T minus fifty-nine minutes; Eismann and a McDonnell manager discuss new techniques required in the building of the space capsule; Cronkite illustrates various stages of the flight such as lift-off, orbit, reentry, splashdown, and recovery; Lt. Col. John "Shorty" Powers of Mercury Control reports the countdown at T minus forty-five minutes and holding; and a film illustrates how the space capsule will be tracked by Cape Canaveral Control Center and seventeen other tracking stations throughout the world. 
